set_id,set_release_date,is_cohort_eligible,set_name,notes,source_url
1938,,false,Alternate Art Promos,Catch-all bucket spanning multiple eras; no release event,
2289,,false,Blister Exclusives,Catch-all bucket spanning multiple eras; no release event,
2175,,false,Burger King Promos,Catch-all bucket spanning multiple eras; no release event,
1543,,false,EX Trainer Kit 1: Latias & Latios,Retail product with a real release event but only month precision available (June 2004); insufficient for 0-29 day buckets,https://bulbapedia.bulbagarden.net/wiki/EX_Trainer_Kit_(TCG)
1542,,false,EX Trainer Kit 2: Plusle & Minun,Retail product but sources conflict across Aug 2005 / Mar 2006 / 2006; Bulbapedia gives no date,https://bulbapedia.bulbagarden.net/wiki/EX_Trainer_Kit_2_(TCG)
2776,,false,First Partner Pack,Catch-all bucket spanning multiple eras; no release event,
2374,,false,Miscellaneous Cards & Products,Catch-all bucket spanning multiple eras; no release event,
1423,,false,Nintendo Promos,Catch-all bucket spanning multiple eras; no release event,
1422,,false,POP Series 1,Distributed over a ~12 month window via Organized Play; no single release event,
1447,,false,POP Series 2,Distributed over a ~12 month window via Organized Play; no single release event,
1442,,false,POP Series 3,Distributed over a ~12 month window via Organized Play; no single release event,
1452,,false,POP Series 4,Distributed over a ~12 month window via Organized Play; no single release event,
1439,,false,POP Series 5,Distributed over a ~12 month window via Organized Play; no single release event,
1432,,false,POP Series 6,Distributed over a ~12 month window via Organized Play; no single release event,
1414,,false,POP Series 7,Distributed over a ~12 month window via Organized Play; no single release event,
1450,,false,POP Series 8,Distributed over a ~12 month window via Organized Play; no single release event,
1446,,false,POP Series 9,Distributed over a ~12 month window via Organized Play; no single release event,
2205,,false,Pikachu World Collection Promos,Catch-all bucket spanning multiple eras; no release event,
2332,,false,Professor Program Promos,Catch-all bucket spanning multiple eras; no release event,
